ORF alpha.0 alpha.7 alpha.14 alpha.21 alpha.28 alpha.35 alpha.42 alpha.49 alpha.56 alpha.63 alpha.70 alpha.77 alpha.84 alpha.91 alpha.98 alpha.105 alpha.112 alpha.119 Elu.0 Elu.30 Elu.60 Elu.90 Elu.120 Elu.150 Elu.180 Elu.210 Elu.240 Elu.270 Elu.300 Elu.330 Elu.360 Elu.390 cdc15.10 cdc15.30 cdc15.50 cdc15.70 cdc15.90 cdc15.110 cdc15.130 cdc15.150 cdc15.170 cdc15.190 cdc15.210 cdc15.230 cdc15.250 cdc15.270 cdc15.290 spo.0 spo.2 spo.5 spo.7 spo.9 spo.11 spo5.2 spo5.7 spo5.11 spo..early spo..mid heat.0 heat.10 heat.20 heat.40 heat.80 heat.160 dtt.15 dtt.30 dtt.60 dtt.120 cold.0 cold.20 cold.40 cold.160 diau.a diau.b diau.c diau.d diau.e diau.f diau.g Label gene_class
YLR197W 0.1 -0.71 -0.71 -0.6 -0.34 -0.4 0.04 -0.25 0.26 -0.18 0.18 -0.3 0.01 -0.32 0.03 -0.04 -0.34 -0.07 -1.56 -0.89 -0.3 0.19 0.57 0.54 0.29 -0.18 -0.27 0.07 0.19 -0.64 -0.92 -0.51 0.14 0.42 0.44 0.1 0.08 -0.09 -0.03 -0.3 -0.42 -0.07 -0.12 -0.27 -0.15 -0.51 -0.36 0.19 -2.32 -1.15 -1.64 -0.86 -0.67 -1.56 -0.76 0.31 -3.32 -2.94 -0.62 -3.32 -3.06 -2.25 -1.12 -1.4 -0.2 -0.43 -1.25 -1.43 -0.22 -0.67 -0.74 -0.56 0.42 0.51 0.88 -0.07 -0.22 -0.89 -1.94 nc 2
YLR200W 0.11 0.01 -0.09 -0.22 0.2 -0.23 0.04 -0.22 0.06 0.28 -0.07 -0.14 -0.22 -0.3 -0.1 -0.3 0.19 -0.09 0.07 -0.42 -0.4 -0.3 -0.15 -0.09 -0.2 0.03 -0.07 -0.2 -0.1 -0.54 -0.25 -0.43 -0.34 -0.27 0.04 -0.17 -0.09 0.11 -0.25 -0.43 -0.15 0.23 0.07 0.04 0.49 0.39 0.77 -0.32 -0.56 -0.56 -0.71 -0.54 -0.6 0.2 -0.2 -0.29 -0.29 -0.12 -0.15 -0.4 0.24 -0.34 -0.45 0.11 0.75 1.04 -0.04 -0.12 -0.23 0.42 -0.3 -0.67 -0.15 -0.15 -0.2 -0.67 -0.38 -0.18 -0.97 nc 2
YLR207W -0.1 -0.47 0.18 -0.04 0.28 -0.25 -0.09 -0.09 -0.15 -0.09 -0.27 -0.01 -0.06 -0.3 -0.25 -0.12 -0.03 -0.25 -0.14 -0.23 -0.43 -0.45 -0.45 -0.18 -0.4 -0.06 0.03 -0.06 -0.18 0.39 0.34 0.04 -0.47 -0.51 -0.22 -0.42 -0.38 -0.14 -0.12 -0.34 -0.29 -0.36 -0.49 -0.36 -0.42 -0.25 -0.27 -0.22 -0.22 -0.22 -0.71 -0.69 -0.49 -0.15 -0.79 0.32 0.43 0.07 -0.15 0.26 0.15 0.46 0.41 0.89 0.08 -0.29 0.34 0.69 -0.03 0.31 0.24 -0.3 0.08 -0.09 0.08 -0.17 0.12 0.26 0.31 nc 2
YLR233C -0.23 -0.4 0.1 0.18 0.19 -0.18 0.03 -0.04 -0.42 -0.32 -0.15 0.04 -0.03 -0.51 0.03 -0.1 -0.01 -0.25 -0.76 -0.3 -0.42 -0.49 -0.3 -0.29 -0.43 -0.29 0.04 -0.32 -0.32 -0.27 -0.07 -0.32 0.1 0.32 0.39 -0.29 -0.45 -0.43 -0.25 -0.12 -0.43 -0.94 -0.76 -0.14 -0.38 -0.42 -0.47 -0.38 0.45 0.28 0.21 0.31 -0.17 0.07 -0.51 -0.6 1.03 0.84 -0.12 0.19 0.08 0.43 0.25 0.28 -0.38 -0.22 -0.23 -0.2 -0.07 0.07 -0.62 -0.34 -0.12 0.2 0.31 0.1 0.31 0.31 0.55 nc 2
YLR249W 0.19 -0.64 -0.47 -0.27 -0.07 -0.29 0.12 0.06 0.04 0.03 0.08 0.15 0.1 -0.01 0.37 0.32 0.11 0.16 -2.06 -0.76 -0.49 -0.04 0.78 0.76 0.59 0.32 0.42 0.26 -0.25 -0.03 -0.97 -0.38 -0.36 -0.25 -0.09 0.21 0.18 0.07 0.12 -0.15 -0.25 -0.12 -0.43 -0.27 -0.56 -0.79 -0.81 -0.23 -1.25 -0.67 -1.51 -1.29 -0.94 -0.89 -1.25 -0.51 -2.32 -2.94 0.04 -1.47 -3.64 -1.79 -0.56 -0.17 -1.64 -1.36 -1.25 -1.69 0.12 -1 -0.4 -1.09 0.07 0.03 0.11 -0.76 -0.06 -1.47 -2.74 nc 2
YLR250W 0.46 0.52 0.62 -0.17 0.01 -0.27 0.28 -0.22 0.16 0.12 0.08 -0.12 -0.09 -0.47 -0.17 -0.27 -0.06 -0.06 0.08 -0.62 -0.6 -0.56 -0.47 -0.36 -0.42 0.32 0.32 0.23 -0.14 0.53 0.52 0.31 0.71 0.45 0.21 0.14 0.37 0.39 0.5 -0.14 0.07 0.1 0.28 -0.47 0.63 0.51 0.58 -0.12 -0.1 -0.51 -0.15 -0.29 -0.1 0.8 0.28 0.37 -0.1 0.16 -0.42 0.56 0.37 -0.74 -0.07 -0.47 0.28 0.08 0.51 0.42 -0.6 -0.17 -0.45 -1.03 0.07 0.15 0.32 0.46 0.68 1.32 0.38 nc 2
YLR259C -0.01 0.59 -0.04 0.01 0.36 0.18 0.55 0.08 0.07 -0.27 -0.12 -0.17 -0.14 -0.49 0.06 -0.2 -0.1 -0.4 0.15 -0.45 -0.36 -0.25 -0.51 -0.36 -0.47 0.11 0.46 0.15 -0.36 0.6 0.88 0.2 -0.34 -1.43 -1.32 -0.76 -0.62 -0.56 -0.12 0.04 -0.07 -0.06 0.18 0.33 0.41 0.57 0.77 -0.22 -1.6 -1.22 -1.12 -1.06 -1.03 -0.47 0.21 0.19 -1.69 -0.64 0.19 2.12 1.71 1.6 1.61 1.02 0.23 -0.71 1.32 0.24 -0.01 -1 -0.06 -1.43 0.29 0.19 -0.34 0.16 0.23 1.13 1.65 nc 2
YLR286C -0.71 -0.97 -1.4 -2.06 -3.06 -3.32 -3.47 -4.06 -4.06 -3.64 -1.84 -0.49 -0.01 -0.58 -0.38 -0.94 -1.32 -1.74 1.79 0.34 -0.38 -2.06 -2.12 -2.4 -2.74 -2.25 -1.89 -1 -0.3 0.42 1.21 1.55 -3.32 0.33 -0.6 -2.64 -3.18 -3.64 0.52 1.45 0.37 -1.25 -2.06 -1.43 1.09 1.61 1.53 0.01 -0.34 -1.79 -1.6 -0.27 -1.32 1.47 -0.17 0.56 -1.74 -3.18 -0.12 -0.42 -1 -0.71 -0.43 -0.01 -0.32 -1.06 -0.45 -1.09 -0.03 -0.86 -1.09 -1.6 0.28 0.19 0.64 0.33 -0.06 -0.49 -1 nc 2
YLR288C -0.34 0.01 -0.22 -1.36 -1.25 -0.18 -0.29 -0.09 -0.6 -0.38 -1.03 -0.36 -0.22 -0.36 -0.69 -0.29 -0.45 -0.67 -0.04 0.18 0.24 -0.51 -0.06 -0.09 -0.64 -0.18 0.18 -0.3 -0.06 -0.43 -0.67 0.07 -1 -0.15 0.4 0.18 -0.1 -0.4 -0.62 -0.15 0.14 0.04 -0.3 -0.34 -0.14 -0.12 -0.09 -0.09 0.63 1.14 0.9 0.24 0.25 -0.36 -0.17 -0.79 1.26 2.15 -0.07 -0.27 0.31 0.15 -0.01 0.74 -0.09 0.12 -0.79 -0.04 -0.54 1.05 0.1 -0.03 -0.2 -0.36 0.21 -0.22 -0.27 0.3 -0.38 nc 2
YLR300W -0.14 -1.18 -1.06 -0.71 0.26 0.33 0.86 -0.45 -0.89 -0.71 0.44 0.48 0.76 0.28 0.6 0.2 -0.09 -0.6 -2.47 -1.64 -1.69 -1.32 -0.25 0.28 0.06 0.01 0.29 0.82 0.38 0.78 0.54 0.37 1.02 1.77 0.98 1.4 0.77 -0.38 1.47 1.53 1.15 1.06 0.26 -0.84 0.79 0.57 0.3 -0.47 -1.18 -2.12 -2.64 -2.56 -2.56 0.72 -1.15 -1.09 -2.25 -3.84 -0.29 -1.4 -0.89 -0.79 -0.14 -0.22 -0.04 -1.47 -0.43 0.14 -0.06 -0.79 -0.89 -0.45 0.06 0.5 1.04 0.37 0.44 -0.81 -1.74 nc 2
YLR303W 0.89 0.53 0.96 0.64 0.84 1.51 1.74 1.32 1.28 0.8 0.58 0.15 0.21 -0.17 0.48 0.26 0.7 0.3 -0.94 2.03 -0.03 -0.3 -0.25 -1.06 -1.03 -0.84 -0.62 -0.43 -0.64 -0.3 -0.69 -0.64 -0.67 -1.4 -0.1 1.3 0.53 -1.22 -1.03 0.75 0.95 0.32 -0.03 -0.42 0.48 0.61 0.86 -0.45 1.68 -0.76 -1.03 -0.76 -0.38 2.29 -0.67 0.06 0.41 -1.47 -0.04 -0.04 -0.62 0.71 0.78 -0.25 -0.89 -1.56 0.36 1.6 -0.07 0.14 -0.43 -0.67 0.21 0.23 0.44 -0.01 -0.64 -0.4 -1.51 nc 2
YLR309C 0.07 -0.07 0.07 -0.07 0.23 -0.1 0.28 -0.1 0.07 -0.15 0.57 -0.3 -0.03 -0.17 0.24 0.2 -0.42 -0.25 -0.23 -0.32 -0.49 -0.22 -0.36 -0.62 -0.56 -0.51 -0.27 -0.47 -0.47 -0.04 -0.1 -0.4 0.07 -0.01 -0.09 -0.18 -0.38 -0.17 -0.2 -0.3 -0.25 -0.3 -0.34 0.19 -0.84 -0.14 0.11 -0.07 -0.97 -0.54 -1 -1.43 -1.15 -0.64 -0.36 -0.56 -0.84 -0.29 -0.18 -0.03 0.14 0.2 -0.15 1.43 -0.49 -0.01 -0.32 -0.56 0.03 0.23 -0.34 -0.56 0.18 -0.03 -0.54 -0.07 -0.07 0.7 0.14 nc 2
YLR321C -0.54 -1.22 -0.58 -0.84 -0.32 -0.45 -0.01 -0.49 -0.34 -0.6 -0.64 -0.76 -0.42 -0.84 -0.34 -0.34 -0.22 -0.51 -0.3 -0.71 -0.76 -0.64 -0.36 -0.58 -0.56 -0.34 -0.36 -0.51 -0.42 -0.42 -0.14 -0.6 -0.32 -0.29 -0.32 -0.32 -0.2 -0.38 -0.2 -0.42 -0.32 -0.15 -0.18 -0.14 0.04 -0.22 -0.09 -0.58 0.41 0.15 -0.17 -0.43 -0.4 -0.27 -0.54 -0.51 -0.17 -0.58 -0.67 -0.94 -0.56 -0.36 -0.27 -0.47 -0.14 0.07 -0.58 -0.62 -0.01 0.26 -0.92 -0.51 -0.12 0.14 0.45 -0.15 0.06 0.32 -0.23 nc 2
YLR332W 1.4 -0.18 -0.54 0.69 0.07 0.34 0.33 -0.14 -0.29 -0.45 -0.58 -0.22 0.23 -0.14 -0.03 -0.09 -0.29 -0.18 0.23 -0.84 -0.29 -0.38 -0.04 0.24 0.31 0.04 -0.04 -0.09 0.19 -0.2 -0.69 -0.29 -0.32 -0.09 0.16 0.43 0.44 0.12 -0.2 0.16 -0.17 -0.2 -0.04 0.46 -0.29 -0.4 -0.27 -0.07 -1.09 -0.81 -1.32 -1.69 -2.12 -0.58 -0.67 -1.56 -0.79 0.24 0.16 -0.01 -0.06 -0.07 0.01 0.07 -0.3 -0.84 0.12 0.2 -0.36 0.29 -0.14 -0.43 -0.3 -0.12 0.49 -0.43 -0.76 0.45 0.23 nc 2
YLR342W -0.03 -0.22 0.2 0.57 0.83 0.37 0.59 -0.38 0.07 -0.58 -0.22 0.11 0.16 0.55 0.6 1.03 0.43 -0.22 -0.84 -1.06 -1.32 -0.74 -0.32 0.04 0.26 0.06 0.21 0.23 -0.4 -0.18 -0.62 -0.07 0.7 0.52 0.94 1.32 0.69 -0.12 0.3 0.66 1.09 0.34 -0.42 -1.32 -0.04 -0.12 -0.12 -0.23 -0.64 -0.47 -0.56 -0.49 -0.3 -0.38 -0.47 -0.4 -1.29 -1.69 0.2 -0.79 -1.15 0.6 0.06 0.9 -1.89 -0.97 -0.18 -0.29 0.57 -0.89 0.61 0.6 0.07 0.41 0.49 0.46 0.2 -1.18 -1.25 nc 2
YLR347C -0.27 -0.86 -0.67 -0.92 -0.36 -0.64 -0.43 -0.51 -0.29 0.11 0.04 -0.09 -0.25 -0.22 -0.51 -0.2 -0.47 -0.03 -0.18 -0.25 -0.64 0.21 0.11 0.12 -0.17 0.24 0.32 0.62 -0.1 0.32 0.32 0.36 0.21 0.03 -0.45 -0.42 -0.12 -0.1 0.15 -0.07 -0.47 -0.18 -0.15 -0.25 -0.38 -0.42 -0.54 -0.3 -0.36 -0.2 -0.76 -1.18 -0.86 -0.07 -0.76 -1.36 0.38 0.63 -0.14 0.58 0.28 0.32 0.5 -0.03 -1.43 -0.94 -0.32 -0.94 0.55 0.04 0.75 0.7 0.18 0.37 0.23 -0.38 -0.4 -0.47 -0.1 nc 2
YLR348C -0.47 -0.29 -0.3 -0.34 0.19 -0.18 0.36 -0.32 0.11 -0.45 -0.54 -0.34 -0.03 -0.4 -0.06 -0.36 -0.64 -0.69 -0.74 0.89 -0.69 -0.1 -0.06 -0.6 -0.14 -0.07 0.19 -0.12 -0.25 0.44 -0.25 0.06 -0.69 -0.74 -0.04 0.33 0.7 0.77 0.55 0.44 0.29 0.25 0.28 -0.74 0.48 0.43 0.77 -0.62 0.45 -0.92 -0.89 -1.47 -1.18 1.24 -0.42 -0.84 -0.45 -0.97 -0.04 0.57 0.32 1.53 1.01 -0.25 -0.43 -0.86 -0.58 -0.92 0.26 0.52 0.2 0.15 -0.3 0.11 -0.01 -0.45 -0.34 0.21 -0.36 nc 2
YLR353W -0.64 -0.49 -0.42 -0.74 -0.4 -0.62 0.03 -0.17 -0.14 0.19 -0.36 -0.27 -0.32 -0.47 -0.25 0.07 -0.07 0.04 -1.18 -1.03 0.2 -0.04 -0.07 -0.42 -0.03 0.32 0.36 0.4 0.21 0.34 -0.51 0.3 -0.71 -1.29 -0.67 0.18 0.4 0.44 -0.49 -0.69 -0.2 0.19 0.25 -0.67 -0.47 -0.42 -0.54 -0.51 0.68 0.2 -0.2 -0.42 -0.38 0.51 -0.64 -0.92 0.59 0.1 -0.01 -0.38 0.26 -0.15 -0.03 0.04 -0.67 -0.23 -0.69 -0.81 -0.06 0.8 0.21 0.12 0.14 -0.18 0.26 0.03 0.15 0.39 0.04 nc 2
YLR354C 0.08 -0.45 -0.17 -0.07 0.14 -0.22 0.29 -0.04 0.1 -0.3 -0.07 -0.32 0.12 -0.43 0.2 -0.2 -0.29 -0.34 -0.89 0.03 -0.58 -0.2 -0.17 -0.2 -0.22 0.07 0.48 0.12 0.07 0.74 0.53 0.36 -0.29 -0.62 -0.18 0.08 0.25 0.23 0.15 0.32 0.2 0.37 0.43 -1.22 0.24 0.14 0.36 -0.27 0.08 -0.97 -1.43 -1.84 -1.79 1.06 -0.74 -0.94 -1.25 -2 -0.15 -0.14 -0.27 0.49 0.07 -1.22 0.14 -0.15 0.82 0.57 0.06 -0.15 -0.34 -0.86 0.15 0.32 0.23 -0.25 0.1 -0.97 -1.64 nc 2
YLR378C -0.45 -0.71 -0.32 -0.47 0.12 -0.27 0.33 -0.54 -0.17 -0.4 -0.23 -0.34 -0.09 -0.27 0.07 -0.32 -0.3 -0.47 -0.97 -0.71 -0.74 -0.36 -0.22 0.33 0.1 0.7 0.54 0.48 -0.07 0.16 0.36 0.15 -0.86 -1.03 -0.64 -0.09 -0.14 -0.58 -0.47 -0.3 -0.25 -0.2 -0.1 -1.56 -0.58 -0.58 -0.47 -0.34 0.2 0.18 0.03 -1 -0.67 -0.27 -0.69 -1.22 0.67 0.7 -0.23 -0.22 -0.51 -0.14 -0.01 -0.76 0.14 -0.43 0.74 0.37 -0.56 -1 -0.86 -0.4 0.11 0.19 0.33 -0.17 0.12 -0.27 -0.84 nc 2
YLR382C -0.27 0.25 0.12 0.38 -0.07 0.03 -0.3 -0.42 -0.03 0.11 -0.25 0.37 -0.04 -0.29 -0.4 0.01 -0.17 -0.18 -0.64 0.04 0.21 -0.07 -0.17 0.03 -0.04 0.36 0.18 0.39 0.23 0.26 0.55 0.24 -0.06 0.1 -0.09 0.5 -0.07 0.18 0.59 0.89 1.04 0.08 0.14 1.2 0.82 0.69 0.78 -0.22 -0.43 -0.49 -0.47 -0.54 -0.62 -0.38 -0.17 -0.56 0.01 0.31 -0.17 0.24 -0.09 0.11 -0.25 -0.67 -0.3 -0.09 -0.12 -0.4 0.06 0.12 -0.36 0.12 -0.09 -0.12 0.08 -0.12 -0.23 0.71 -0.27 nc 2
YLR411W 0.04 -0.17 0.04 -0.1 -0.23 -0.17 -0.04 -0.17 -0.07 -0.2 -0.29 -0.03 0.06 -0.67 -0.17 -0.12 -0.32 -0.12 0.18 -0.32 -0.3 -0.18 -0.34 -0.38 -0.56 -0.45 -0.47 -0.43 -0.36 -0.45 -0.18 -0.12 0.33 -0.04 -0.15 -0.15 0.11 0.01 0.06 -0.09 0.11 -0.25 0.14 -0.32 -0.4 -0.14 -0.14 -0.03 0.73 1.27 -0.89 -0.58 -1.06 -0.43 -2.12 -2.12 0.96 0.7 0.21 0.34 0.18 0.01 -0.1 0.39 -0.27 -0.18 -0.12 -0.42 -0.4 0.55 -0.45 -0.34 -0.18 0.03 -0.01 -0.47 -0.32 0.19 -0.01 nc 2
YLR430W -0.38 -0.36 -0.56 -0.43 -0.29 -0.29 -0.12 -0.4 -0.09 0.28 -0.25 -0.32 -0.18 -0.45 -0.42 -0.09 -0.38 -0.17 -0.45 -0.06 0.06 0.31 -0.03 -0.18 -0.14 0.43 -0.09 0.15 -0.12 0.04 0.23 0.03 -0.04 -0.22 -0.25 -0.15 -0.06 0.08 -0.12 -0.38 -0.17 -0.12 -0.27 0.1 -0.25 -0.45 -0.58 -0.36 0.06 0.56 0.98 0.61 0.81 -0.54 0.26 -0.25 -0.12 0.53 -0.04 0.12 0.26 0.32 -0.27 0.59 -0.6 -0.4 -1.15 -0.86 0.31 0.58 0.85 0.71 -0.25 -0.04 -0.01 -0.36 -0.36 -0.76 -0.69 nc 2
YLR438W -1.94 -1.18 -1 -0.81 -0.45 0.11 0.82 0.45 0.76 0.46 0.1 -0.25 -0.47 -1.09 -0.76 -0.32 -0.56 -0.47 -0.07 1.04 -0.38 0.79 0.45 0.19 0.03 0.6 0.44 0.4 -0.1 0.2 0.23 -0.03 0.75 -0.36 -0.92 0.3 0.53 -0.14 -0.42 -0.22 -1.56 0.42 0.58 0.54 -0.6 -0.22 -0.49 -0.07 2.58 2.56 2.44 1.63 1.74 0.37 -0.69 -1.22 3.26 1.88 0.54 2.89 2.63 2.13 0.96 0.56 -0.38 -2.18 1.16 0.86 0.18 0.23 -0.58 -1.43 -0.64 -0.49 -0.29 -0.67 -0.38 1.07 -0.06 nc 2
YLR453C 0.06 -0.29 -0.01 -0.29 -0.34 -0.15 -0.06 -0.04 -0.1 -0.27 -0.32 -0.43 -0.18 -0.23 -0.23 0.03 -0.2 -0.1 -0.17 -0.07 0.03 0.19 -0.07 -0.23 -0.2 -0.32 -0.43 -0.32 -0.07 -0.22 -0.74 -0.25 -0.81 0.06 0.07 -0.29 -0.15 0.25 -0.22 -0.56 -0.45 -0.06 -0.45 -0.32 -0.36 -0.58 -0.4 -0.43 0.03 -0.29 -0.56 -0.43 -0.38 -0.01 -0.64 0.12 0.15 0.04 -0.18 -0.43 0.06 0.11 -0.25 0.23 -0.92 -0.51 -0.51 -0.62 0.06 0.66 0.37 0.68 -0.07 -0.25 0.33 -0.01 -0.69 0.69 0.1 nc 2
YML004C 0.37 0.01 0.56 0.5 0.3 0.4 0.34 0.04 0.1 -0.07 -0.07 -0.36 -0.22 -0.6 -0.03 -0.32 0.06 -0.34 1.29 -0.49 -0.32 -0.45 -0.71 -0.81 -0.67 -0.38 -0.14 -0.56 -0.89 -0.03 0.21 -0.03 -0.42 -0.62 -0.29 -0.03 -0.07 -0.14 0.03 -0.14 -0.04 -0.07 0.03 -0.27 0.1 0.38 0.7 -0.42 -0.1 -0.97 -1.29 -0.38 0.54 0.89 -0.69 1.24 -0.42 -0.86 -0.54 0.96 0.98 0.01 0.23 -0.64 0.48 0.42 0.79 0.74 -0.23 -0.23 0.01 -0.56 0.14 0.55 0.29 0.2 0.42 1.78 1.09 nc 2
YML010W -0.23 -0.36 -0.43 -0.1 -0.49 -0.18 -0.14 -0.29 -0.01 0.24 -0.01 0.29 0.01 -0.34 -0.17 0.06 -0.34 -0.03 -0.22 0.18 0.23 0.42 0.19 0.24 0.06 0.53 0.58 0.62 0.2 0.33 0.37 0.57 -0.06 0.01 -0.3 -0.27 -0.18 -0.18 -0.14 -0.43 -0.27 -0.15 -0.47 -0.07 -0.1 -0.27 -0.42 -0.29 -0.76 -0.69 -0.34 -0.45 -0.09 -0.58 0.25 0.32 -0.71 -0.84 0.25 0.12 0.19 1.64 0.31 0.1 -0.71 -0.51 0.07 -0.3 0.87 0.12 0.38 0.88 -0.15 -0.4 -0.2 -0.27 -0.47 -0.45 -0.79 nc 2
YML015C -0.18 -0.18 -0.12 -0.12 0.01 0.06 -0.01 0.14 0.07 -0.07 -0.01 -0.09 -0.17 -0.47 -0.06 0.07 -0.25 -0.17 0.16 -0.51 -0.07 -0.01 0.24 -0.09 -0.06 -0.09 -0.32 -0.43 -0.29 -0.51 -0.6 -0.43 0.28 0.26 0.26 0.04 0.21 0.19 0.01 -0.04 -0.07 0.15 0.04 -0.12 0.18 -0.09 0.12 -0.23 -0.43 -0.34 -0.58 -0.79 -0.81 -0.34 -0.6 -0.47 -0.51 -0.67 0.45 -0.86 -0.09 -0.3 -0.42 0.59 0.06 -0.17 -0.38 -0.43 -0.22 0.63 0.41 0.63 -0.06 -0.01 0.28 -0.07 -0.03 0.69 -0.22 nc 2
YML042W 1.21 0.03 0.3 0.11 0.24 0.28 0.78 0.28 -0.06 -0.01 -0.06 0.25 -0.09 0.85 -0.47 0.03 0.4 0.15 -0.34 0.25 -0.29 -0.81 -1.43 -1 -0.32 0.15 0.66 0.43 0.26 1.1 1.08 0.56 0.25 0.5 0.36 0.24 0.39 0.52 0.32 0.28 0.59 0.15 0.42 0.34 0.39 0.34 0.45 -0.23 2.39 2.31 1.93 1.06 1.32 0.3 -0.71 -1.79 2.17 1.7 -0.12 0.58 0.31 0.25 -0.06 0.97 -0.64 -0.32 -0.64 -0.45 -0.15 0.72 0.04 0.4 -0.54 -0.3 0.3 -0.36 -0.64 1.59 2.12 nc 2
YML060W -0.15 -0.71 0.21 0.45 0.49 -0.06 0.12 -0.49 -0.36 -0.14 0.07 0.32 0.2 0.1 -0.09 -0.22 -0.18 -0.47 -1.84 -0.62 -0.94 -0.45 -0.12 -0.34 -0.3 -0.18 -0.4 -0.43 -0.67 -0.64 -1.25 -0.64 0.36 -0.09 0.76 -0.1 -0.34 -0.89 0.2 0.39 -0.86 -0.17 -0.58 -0.51 -0.47 -0.3 -0.29 -0.58 0.85 0.68 0.73 0.11 -0.23 0.2 -0.56 -1.22 1.52 0.95 -0.32 -1.12 0.29 0.23 0.18 -0.01 -0.36 -0.89 -0.92 -0.62 -0.47 0.58 -0.54 -0.64 -0.2 0.1 0.21 -0.17 -0.43 0.18 -0.03 nc 2
YML062C 0.06 -0.49 -0.09 -0.18 -0.14 -0.29 -0.09 -0.07 -0.18 -0.43 -0.54 -0.34 -0.34 -0.45 -0.42 -0.27 0.16 -0.32 0.08 -0.47 -0.45 -0.49 -0.25 -0.71 -0.6 -0.12 -0.38 -0.69 -0.86 -0.43 -0.43 -0.64 -0.12 -0.29 0.08 0.16 0.01 0.07 0.18 0.07 0.06 -0.06 -0.07 0.39 -0.6 0.31 0.16 -0.42 -0.49 0.23 1.74 1.26 0.77 -0.71 1.18 0.58 -0.67 -0.03 -0.27 -0.45 -0.32 0.41 -0.2 0.06 -0.1 0.33 -0.54 -0.3 -0.15 -0.03 -0.18 -0.79 -0.1 0.03 0.03 -0.36 -0.14 0.23 -0.09 nc 2
YML064C -0.22 -0.89 -0.1 -0.38 0.08 -0.38 0.24 0.25 0.34 -0.2 -0.2 -0.54 -0.18 -0.4 0.1 -0.03 0.44 -0.2 -0.97 -0.76 -0.42 -0.64 -0.14 -0.76 -0.14 -0.07 -0.12 -0.22 -0.32 -0.18 -0.25 -0.32 -0.18 -0.76 -0.47 -0.06 0.34 1.04 0.03 -0.81 -0.38 -0.15 0.64 0.4 -0.47 -0.23 0.03 -0.38 0.4 0.21 0.66 0.24 0.06 0.01 -0.03 -0.45 0.76 0.61 -0.14 -0.29 -0.38 0.06 -0.04 -0.36 -0.1 -0.29 -0.56 -0.04 -0.29 0.24 -0.22 -0.6 -0.03 0.14 -0.04 -0.23 -0.1 -0.22 -0.34 nc 2
YML065W -0.54 -0.74 -0.86 -0.62 0.11 -0.07 0.38 0.11 0.16 0.18 -0.36 -0.25 -0.2 -0.25 0.26 0.08 0.26 0.1 -1.18 -0.67 -0.6 -0.56 -0.12 0.06 -0.18 0.06 0.2 0.3 -0.32 0.11 -0.45 -0.32 -0.49 -0.64 -0.1 0.31 0.06 -0.06 -0.69 -0.6 -0.09 0.07 -0.25 -0.71 -0.49 -0.94 -0.56 -0.47 0.21 1.51 2.84 2.68 2.53 -1.4 0.77 0.55 1.24 1.78 -0.12 -0.34 -0.1 -0.47 -0.15 0.08 -0.54 -0.34 -0.45 -0.54 -0.01 0.45 -0.69 0.16 -0.14 -0.2 -0.15 -0.36 -0.43 -0.3 -1.03 nc 2
YML098W -0.38 -0.07 -0.38 -0.06 -0.34 0.1 -0.1 -0.3 -0.2 0.16 -0.47 0.16 -0.22 -0.27 -0.3 -0.14 0.08 -0.22 -0.03 0.15 0.11 0.1 0.07 0.12 0.28 0.21 0.01 0.14 0.32 -0.03 -0.04 0.19 0.08 0.24 0.38 0.29 0.18 0.03 -0.03 0.06 0.42 0.37 0.21 0.79 0.26 0.26 0.53 -0.18 0.77 0.85 1.26 0.48 1.1 -0.18 0.01 -0.14 1.23 0.93 -0.23 -0.3 -0.17 -0.51 -0.18 -0.38 -0.09 -0.36 -0.15 -0.04 -0.51 0.16 -0.56 -0.58 0.04 -0.22 -0.17 -0.07 -0.22 0.4 -0.42 nc 2
YML113W -0.27 -1.03 -0.71 -0.69 -0.17 -0.42 0.2 -0.29 -0.12 -0.29 -0.43 -0.54 -0.06 -0.58 -0.32 -0.23 0.03 -0.29 -0.42 -0.49 -0.12 -0.01 0.19 -0.09 -0.27 -0.38 0.39 0.16 -0.56 -0.29 0.12 -0.34 0.58 0.38 0.16 0.3 0.34 0.07 0.11 -0.2 -0.01 0.04 0.08 -0.81 -0.38 -0.49 -0.32 -0.15 -0.23 -0.3 -0.34 -0.38 -0.49 -0.43 -0.23 -0.58 -0.51 -0.92 -0.34 -0.67 -0.54 0.74 0.16 -0.43 -0.25 -0.67 -0.43 -0.6 0.15 -0.79 -0.81 -0.81 -0.23 -0.1 0.37 -0.29 -0.22 0.26 0.32 nc 2
YML120C -0.42 0.3 -0.32 -0.71 -0.49 -0.34 -0.32 -0.74 -0.12 -0.17 -0.38 -0.1 -0.4 -0.36 -0.58 -0.43 -0.38 -0.34 0.03 0.61 0.65 0.33 0.07 0.25 0.28 1 0.61 0.51 0.32 0.74 0.72 0.58 -0.92 -0.89 0.06 0.99 0.87 1.14 0.91 0.68 1.01 0.45 0.92 1.44 1.16 1.2 1.23 -0.06 -0.25 -0.25 -0.34 -0.67 -0.54 0.29 -0.23 -0.34 -0.32 -0.18 0.28 1.77 0.79 0.39 0.3 -0.09 -0.45 -0.45 0.14 -0.15 0.46 0.8 0.25 -0.32 -0.22 -0.58 -0.23 0.15 0.44 1.76 1.97 nc 2
